title,description,display_date,Picture_link,Location,On_road,Price
Toyota Vitz,Toyota Vitz F 1.0 Smile 2014 model Registered July 2018Islamabad Registered Lifetime Token PaidAuction Sheet AvailableView the auction Sheet pictures above84K driven in Japan 14K in PakistanNo touching Glass Coated PaintPearl white ColorNew Tyres With Alloy RimsLCD Rear View Camera,28-05-20 21:58,https://apollo-singapore.akamaized.net:443/v1/files/6l4t1b7geayk2-PK/image;s=1080x1440,"Islamabad,Islamabad Capital Territory,Pakistan","2014 - 98,000 km","Rs 1,930,000"
Toyota vitz AYGO X PLAY UK MODEL,Just like brand new import 2017 model 2015.1000cc pick like a bullet8 airbagsMultimedia steeringCruise controlTraction controlLatest car audio system with Bluetooth connectivity Auxiliary port.It gives around 20 km per litre in city.,09-06-20 14:56,https://apollo-singapore.akamaized.net:443/v1/files/0xv6dci14r0y2-PK/image;s=1080x810,"Lahore,Punjab,Pakistan","2015 - 33,000 km","Rs 1,550,000"
Honda vezel Z sensing,2016 MODEL 2018 IMPORT 2019 islamabad registered• Back lights original available• Clazzio USA Leather Seats• Android multimedia installed • Xeon Head Light • All services are done from honda service centre.• Private purchase from japan without auction sheet.• Only one key available.• All import documents available.,16-04-20 19:37,https://apollo-singapore.akamaized.net:443/v1/files/8dwi3lsfwqwr-PK/image;s=1080x810,"Gujrat,Punjab,Pakistan","2016 - 80,000 km","Rs 4,050,000"
Toyota Prius S My Coorde Package Model 2012,"Toyota_Prius S_My_Coorde Package Mode 2012 New_Shape Lahore Reg 2016  ABS & Battry Ok  104000 kmRs=24,65,000",03-06-20 17:21,https://apollo-singapore.akamaized.net:443/v1/files/ofsdvu0g1oyc-PK/image;s=1080x808,"Lahore,Punjab,Pakistan","2012 - 104,000 km","Rs 2,465,000"
Daihatsu Conte Move,"Daihatsu Conte Move is up for sale. The car’s total specifications and physical condition is mentioned and described below in the following points:- • Every function and every electronic is completely working• Original registration book, both number plates available• Auto gear transmission• It is 2014 Model Import in 2017 and Registered in 2017•76646  KM driven up till now, as the physical and engine condition speaks for itself • Penniless work required.• Perfect interior, exterior, engine, suspension• Tyres condition is good• Smooth, powerful and comfortable luxury drive without any squeaks or issues• Chilled A/C  At the end we would just say that seeing, driving, and inspecting is believing for this crystal clear, totally trouble free, new machine, a gift for Daihatsu Conte Move Iovers. It’s kept with intense care without compromising on its maintenance. You can bring your denter/painter/mechanic for your complete satisfaction. Price is almost fixed and quiet reasonable for such a beauty but still a bit negotiable for really interested customers. Do feel free to call/text to know more about this beauty or to schedule a meeting Carfirst Franchise is the best place to buy your next car. All our cars are available at affordable prices, including pre-certified vehicles. We are Pakistan’s #1 source for trusted used cars, with the right vehicle to suit every need and every budget. Call now or Visit us at the following Carfirst Franchise to check out the latest cars, promotions, rewards & other value added services.Carfirst Franchise Autocity 51E Maulana Shaukat Ali Road Lahore.Call Timings: 11: 00 AM to 7:00 PM  Seeing is believing so call now or visit your closest CarFirst sales center to check out the latest cars, promotions and other value added services.Address: 51 E Maulana Shaukat Ali Road Lahore",14-05-20 16:13,https://apollo-singapore.akamaized.net:443/v1/files/tq0i6dj40lgu3-PK/image;s=1080x810,"Lahore,Punjab,Pakistan","2014 - 76,646 km","Rs 1,365,000"
’97 Grey Toyota Land Cruiser for sale (7-9 seater),The car is in good condition. I’m selling it because I’m moving. I have a lot of offers coming in so please only message me if you’re a serious buyer.,06-05-20 14:11,https://apollo-singapore.akamaized.net:443/v1/files/5owo0cwhq0nb3-PK/image;s=1080x1440,"Lahore,Punjab,Pakistan","1997 - 200,000 km","Rs 2,800,000"
Honda City 1.5 i-VTEC Aspire Prosmatec,"Honda City 1.5 i-VTEC Aspire Prosmatec Auto is up for sale. The car’s total specifications and physical condition is mentioned and described below in the following points:- • Every function and every electronic is completely working• Original registration book/Original number plate• Automatic gear transmission• 69458 KM driven up till now• Interior & exterior is good•Registered City: Lahore At the end we would just say that seeing, driving, and inspecting is believing for this crystal clear, totally trouble free, new machine, a gift for Honda City 1.5 i-VTEC Aspire Prosmatec Iovers. It’s kept with intense care without compromising on its maintenance. You can bring your denter/painter/mechanic for your complete satisfaction. Price is almost fixed and quiet reasonable for such a beauty but still a bit negotiable for really interested customers. Do feel free to call/text to know more about this beauty or to schedule a meeting Carfirst Sales is the best place to buy your next car. All our cars are available at affordable prices, including pre-certified vehicles. We are Pakistan’s #1 source for trusted used cars, with the right vehicle to suit every need and every budget.Call now or visit your closest Carfirst Sales Branch to check out the latest cars, promotions, rewards & other value added services.Visit us at any of the following Carfirst Sales              Shop# 24-A, Hockey Stadium, Near Nadra Office, Madina Town,               Faisalabad.Call Timings: 11: 00 AM to 7:00 PM",02-06-20 14:06,https://apollo-singapore.akamaized.net:443/v1/files/tkyeyfczubcp3-PK/image;s=1080x810,"Faisalabad,Punjab,Pakistan","2015 - 69,458 km","Rs 2,050,000"
Hybrid alto 2020 import,"Only 8,000 driven, outclass condition , fresh import,",12-06-20 1:56,https://apollo-singapore.akamaized.net:443/v1/files/z5xovkf5sjvf-PK/image;s=1080x1080,"Islamabad,Islamabad Capital Territory,Pakistan","2018 - 8,000 km","Rs 1,690,000"
Daihatsu Mira 2017 Model,Daihatsu Mira 2017 ModelNeat and clean ConditionMinor Touching Automatic Gear shiftersExcellent InteriorPower Steering And WindowFeel free to contact me at the further details,12-06-20 1:56,https://apollo-singapore.akamaized.net:443/v1/files/yfdryagk0zjn1-PK/image;s=1080x1080,"Rawalpindi,Punjab,Pakistan","2017 - 2,400 km","Rs 1,675,000"
Suzuki Alto 660cc L 2015,"Suzuki Alto 660cc L 2015 is up for sale. The car’s total specifications and physical condition is mentioned and described below in the following points:-• Original registration book, both number plates available• Automatic gear transmission• Interior, exterior is Excellent• 57638 KM driven up till now• Registered City: Lahore At the end we would just say that seeing, driving, and inspecting is believing for this crystal clear, totally trouble free, new machine, a gift for Suzuki Alto 660cc L 2015 Iovers. It’s kept with intense care without compromising on its maintenance. You can bring your denter/painter/mechanic for your complete satisfaction. Price is almost fixed and quiet reasonable for such a beauty but still a bit negotiable for really interested customers. Do feel free to call/text to know more about this beauty or to schedule a meeting Carfirst Sales is the best place to buy your next car. All our cars are available at affordable prices, including pre-certified vehicles. We are Pakistan’s #1 source for trusted used cars, with the right vehicle to suit every need and every budget.Call now or visit your closest Carfirst Sales Branch to check out the latest cars, promotions, rewards & other value added services. Visit us at any of the following Carfirst SalesMetro Cash & Carry Thokar Niaz Baig-LahoreCall Timings: 10: 00 AM to 5:00 PM",06-06-20 1:32,https://apollo-singapore.akamaized.net:443/v1/files/hnl9stsntqpa2-PK/image;s=1080x656,"Lahore,Punjab,Pakistan","2015 - 57,638 km","Rs 1,565,000"
"Suzuki Wegon R VXL Total Geniun Body,Paint,Parts",Urgent sale only serious buyers contact please.,31-05-20 18:42,https://apollo-singapore.akamaized.net:443/v1/files/eay3nmytdk2b-PK/image;s=1080x1440,"Faisalabad,Punjab,Pakistan","2019 - 26,000 km","Rs 1,650,000"
Honda civic,Rebirth.Sun roofcruise control UGBumber to bumper genuine,11-06-20 19:51,https://apollo-singapore.akamaized.net:443/v1/files/1bk0juwppjva2-PK/image;s=1080x2225,"Sialkot,Punjab,Pakistan","2015 - 60,000 km","Rs 2,600,000"
Honda Vezel,"HONDA VEZEL RS VERSION PEARL BLACK 2016 MODEL 2020 IMPORT 32,000 KM Auto Pilot Driven Push Start Power Window Power Steering Heated Seats Air Bags Original Honda Alloy Rims Climate Control ACSuede Leather Seats Cruise Control Multimedia SteeringHatch Back Seats Radar Distance ControlEarth Dream TechnologyHID Head Light DSLR LightsSMD Fog Lights Power Window Retractable MirrorRear Tinted Glass Paddle ShiffterArm Rest For Details call",31-05-20 11:14,https://apollo-singapore.akamaized.net:443/v1/files/qoujtj0i1w442-PK/image;s=1080x810,"Lahore,Punjab,Pakistan","2016 - 32,000 km","Rs 4,500,000"
Honda City Original Condition,"Assalam-o-AlaikumHonda City 2011 manual 1300cc in original factory condition•Total original condition few paint touch-ups only two and half pieces spray for fresh look due to some minor scratches. The rest is total genuine paint. •First owner, Lahore registered and only 98000km Driven originally.•Great Fuel Average 18Km/L (Pic Attached)•Front upgraded to 2017 new face left version.•LCD and Audio system •100% smooth suspension•Guaranteed 100% powerful and silent engine.•Band new Japanies Tyres hardly 5000 km driven•Leather poshish and clean interior.Car Can be seen in garden town Lahore, Please call me directlyDealer hazrat se mazrat, Price is slightly negociatiable but please don’t expect miracles, price is almost final.",10-06-20 20:46,https://apollo-singapore.akamaized.net:443/v1/files/jmtxh67jg0kc3-PK/image;s=1080x607,"Lahore,Punjab,Pakistan","2011 - 98,000 km","Rs 1,550,000"
Toyota Corolla GLI 1.3,"Toyota Corolla 1.3 GLI is up for sale. The car’s total specifications and physical condition is mentioned and described below in the following points:- • Every function and every electronic is completely working• Original registration book/Original number plate• Manual gear transmission• 79532 KM driven up till now• Interior & exterior is good•Registered City: Lahore At the end we would just say that seeing, driving, and inspecting is believing for this crystal clear, totally trouble free, new machine, a gift for Toyota Corolla 1.3 GLI Iovers. It’s kept with intense care without compromising on its maintenance. You can bring your denter/painter/mechanic for your complete satisfaction. Price is almost fixed and quiet reasonable for such a beauty but still a bit negotiable for really interested customers. Do feel free to call/text to know more about this beauty or to schedule a meeting Carfirst Sales is the best place to buy your next car. All our cars are available at affordable prices, including pre-certified vehicles. We are Pakistan’s #1 source for trusted used cars, with the right vehicle to suit every need and every budget.Call now or visit your closest Carfirst Sales Branch to check out the latest cars, promotions, rewards & other value added services.Visit us at any of the following Carfirst SalesAutocity Carfirst Franchise Call Timings: 11: 00 AM to 7:00 PM",13-05-20 16:23,https://apollo-singapore.akamaized.net:443/v1/files/zlozo0bdxsgk3-PK/image;s=1080x810,"Lahore,Punjab,Pakistan","2015 - 79,532 km","Rs 2,150,000"
Toyota Axio 2006 /12 Reg in Mint Condition Urgent Sale,"Toyota Corolla Axio X model 2006 / 2012 ImportIslamabad Registered Biometric on Hand.new battery installed, New Tyres With Alloy Rims.Multimedia steering wheel.Fog lights are installed.Very Clean Interior.Car gives an average mileage of 15 to 17 km inside the city and can reach up to 18 to 20 km on long route.3 Piece Shower for Scratches, Rest Car is in it's original condition.No mechanical work required. Front Suspension work Done Recently.Rest the car speaks itself.do bring your painter denter for your own satisfaction.",10-06-20 20:25,https://apollo-singapore.akamaized.net:443/v1/files/42ra3yvgukot-PK/image;s=1080x1016,"Peshawar,Khyber Pakhtunkhwa,Pakistan","2006 - 98,000 km","Rs 1,840,000"
Suzuki alto ags automatic,"Suzuki alto vxl ags automatic in brand new condition bumper to bumper genuine and in original condition very low mileage and as a third car used recently oil+air filter changed from company ENGINE 100%SUSPENTION 100% not a penny work require just buy and drive new car all documents genuine and original in single name book+file, plz only serious buyer contact any time, other number is 0 - 3- 0- 7- 4- 6- 2- 2- 2- 4- 6",11-06-20 8:38,https://apollo-singapore.akamaized.net:443/v1/files/2zl9ql7n6yju1-PK/image;s=1080x1440,"Lahore,Punjab,Pakistan","2019 - 5,000 km","Rs 1,525,000"
Toyota corolla xli Red wine,toyota corolla Red wine colour 2013 model 2014 reg lahore num seal to seal genuine file on hand smart card issuednew fresh tyeres installed 3 peice tuching in front morgad home used car only serious buyer contact plzz,04-06-20 19:21,https://apollo-singapore.akamaized.net:443/v1/files/z5eacklup1fj1-PK/image;s=1080x1440,"Peshawar,Khyber Pakhtunkhwa,Pakistan","2013 - 180,000 km","Rs 1,550,000"
Accord 94 khi num Exchange possible,Please read adExchange possible with mehran cultus coure charade liana beleno mini pajero etcPrice is negotiableOrignal documentsToken paid till 20151 num plate availableEngine 80%Suspension 100%New tyresNew alloyrimNew betterySunroof workingCentral locking workingAc needs serviceInterior total geniun neat n cleanSeal to seal packNon accidentalExterior showered for fresh looksFresh pictures attachedComfortable n smooth driveBest for family useNo major work requiredJust buy n driveShukeria,03-06-20 18:59,https://apollo-singapore.akamaized.net:443/v1/files/gy22673l58ru1-PK/image;s=1080x810,"Lahore,Punjab,Pakistan",1994 - 786 km,"Rs 495,000"
Daihatsu Mira 660cc 2012,"Daihatsu Mira 660cc 2012 is up for sale. The car’s total specifications and physical condition is mentioned and described below in the following points:-• Original registration book, both number plates available• Automatic gear transmission• Interior, exterior is good• Tyres condition is good• 128853 KM driven up till now• Registered City: Karachi At the end we would just say that seeing, driving, and inspecting is believing for this crystal clear, totally trouble free, new machine, a gift for Daihatsu Mira 660cc 2012 Iovers. It’s kept with intense care without compromising on its maintenance. You can bring your denter/painter/mechanic for your complete satisfaction. Price is almost fixed and quiet reasonable for such a beauty but still a bit negotiable for really interested customers. Do feel free to call/text to know more about this beauty or to schedule a meeting Carfirst Sales is the best place to buy your next car. All our cars are available at affordable prices, including pre-certified vehicles. We are Pakistan’s #1 source for trusted used cars, with the right vehicle to suit every need and every budget.Call now or visit your closest Carfirst Sales Branch to check out the latest cars, promotions, rewards & other value added services. Visit us at any of the following Carfirst SalesMetro Cash & Carry Safari- KarachiCall Timings: 10: 00 AM to 5:00 PM",02-06-20 4:37,https://apollo-singapore.akamaized.net:443/v1/files/1clzo6tidx9c1-PK/image;s=1080x1440,"Karachi,Sindh,Pakistan","2014 - 128,853 km","Rs 1,060,000"
Nissan clipper 15 - 20 fresh import bumper,Nissan ClipperManufactured by SuzukiBumper to bumper original paint and conditionTriptonic gearPower windowsABS BrakeAuto RadarTraction controlAlloy rimsTinted glassRemote keyVery good fuel average,11-06-20 17:03,https://apollo-singapore.akamaized.net:443/v1/files/hm3j369jww0j3-PK/image;s=1080x1440,"Lahore,Punjab,Pakistan","2015 - 90,000 km","Rs 1,310,000"
Daihatsu Mira 2016 Model,Daihatsu Mira 2016 ModelNeat and clean Condition Automatic captions3.5 grade  auction SheetPower Steering And WindowsSRS AirbagsFeel free to contact us for the further details,12-06-20 1:56,https://apollo-singapore.akamaized.net:443/v1/files/ty2m6ao785801-PK/image;s=1080x1080,"Rawalpindi,Punjab,Pakistan","2016 - 35,000 km","Rs 1,700,000"
Honda N Box 2014 model,Honda N Box 2014 ModelImport 2018Original AirbagsOut Class Drive Feel free to contact us for the further details,12-06-20 1:56,https://apollo-singapore.akamaized.net:443/v1/files/sfmnxn60rufb2-PK/image;s=1080x1440,"Rawalpindi,Punjab,Pakistan","2014 - 55,000 km","Rs 1,290,000"
Audi A3 2015,"Audi A3 2015/2015 registered is up for sale. The car’s total specifications and physical condition is mentioned and described below in the following points:-• Every function and every electronic is completely working• Original registration book, file, both number plates available• Automatic gear transmission• 55300 KM driven up till now, as the physical and engine condition speaks for itself• Penniless work required,• Perfect interior, exterior, engine, suspension• Tyres condition is good• Smooth, powerful and comfortable luxury drive without any squeaks or issues• Chilled A/C At the end we would just say that seeing, driving, and inspecting is believing for this crystal clear, totally trouble free, new machine, a gift for Audi A3 Lovers. It’s kept with intense care without compromising on its maintenance. You can bring your denter/painter/mechanic for your complete satisfaction. Price is almost fixed and quiet reasonable for such a beauty but still a bit negotiable for really interested customers. Do feel free to call/text to know more about this beauty or to schedule a meeting Carfirst Franchise is the best place to buy your next car. All our cars are available at affordable prices, including pre-certified vehicles. We are Pakistan’s #1 source for trusted used cars, with the right vehicle to suit every need and every budget. Call now or Visit us at the following Carfirst Franchise E World International 931 J2 MA johar Town Lahore to check out the latest cars, promotions, rewards & other value added services.E World InternationalCarfirst Franchise, Lahore.Call Timings: 11: 00 AM to 5:00 PM48",19-05-20 12:26,https://apollo-singapore.akamaized.net:443/v1/files/vzihszhxp63m3-PK/image;s=1080x606,"Lahore,Punjab,Pakistan","2015 - 55,300 km","Rs 4,650,000"
"Copen Turbo in Mint Condition, Very well Maintained.",Daihatsu Copen TurboChilled A.cSRS Packed Air bagsVery Hot HeaterTotal Genuine CarFully Automatic Roof Up And Down L.C.D. Back CamNew TiresSuspension 100 percentEvery Gaged is working,05-06-20 18:58,https://apollo-singapore.akamaized.net:443/v1/files/xtymacn4m9k9-PK/image;s=1080x1440,"Lahore,Punjab,Pakistan","2006 - 72,000 km","Rs 1,125,000"
"Toyota 2.0D Saloon, Lahore Register, AirBag, Alloy Rims, AC, White","I am selling Toyota Corolla 2.0D Saloon (its saloon variant good break and AirBag), Good AC, Fine Engine, good Seats, Solid Body (no Rust at all), everything is perfect, central locking installed, Alloy rims, good tyres, just buy and drive, Lahore registered.  I am Owner at Allied School campus and selling this car to jump on next one, everything is guaranteed and i am responsible about everything.  Computerized Number Plates are applied and have invoice.Genuine Book Available but File missed.Guarantee about the file that missed in home. Price is reasonable as i know file is missed. rest everything is fine and Guarantee about the peppers. Price is almost final (don't bargain about the price on phone call).  Car can seen in Khanewal city.",12-06-20 1:19,https://apollo-singapore.akamaized.net:443/v1/files/c6so6v1s4al1-PK/image;s=1080x2338,"Multan,Punjab,Pakistan","2004 - 200,000 km","Rs 650,000"
"2011 model, 2016 Registered. TXL( TRD Version)","Prado TXL (TRD version), 7 seater, black leather seats, electric heated seats, sunroof, cool box.One hand driven. Maintained by -Toyota.",14-05-20 23:43,https://apollo-singapore.akamaized.net:443/v1/files/hld4lq4u6s6o1-PK/image;s=1080x1440,"Lahore,Punjab,Pakistan","2011 - 63,000 km","Rs 12,000,000"
Suzuki Cultus 993cc VXR Euro II 2014,"Suzuki Cultus 993cc VXR Euro II 2014 is up for sale. The car’s total specifications and physical condition is mentioned and described below in the following points:-• Original registration book, both number plates available• Manual gear transmission• Interior, Exterior is good•Tyres condition is good• 39618 KM driven up till now• Registered City: Karachi At the end we would just say that seeing, driving, and inspecting is believing for this crystal clear, totally trouble free, new machine, a gift for Suzuki Cultus 993cc VXR Euro II 2014 Iovers. It’s kept with intense care without compromising on its maintenance. You can bring your denter/painter/mechanic for your complete satisfaction. Price is almost fixed and quiet reasonable for such a beauty but still a bit negotiable for really interested customers. Do feel free to call/text to know more about this beauty or to schedule a meeting Carfirst Sales is the best place to buy your next car. All our cars are available at affordable prices, including pre-certified vehicles. We are Pakistan’s #1 source for trusted used cars, with the right vehicle to suit every need and every budget.Call now or visit your closest Carfirst Sales Branch to check out the latest cars, promotions, rewards & other value added services. Visit us at any of the following Carfirst SalesShop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.C.H.S Society Main Khalid Bin Waleed Road Karachi Call Timings: 10: 00 AM to 5:00 PM",07-06-20 18:53,https://apollo-singapore.akamaized.net:443/v1/files/q0uzfl3sth9p-PK/image;s=1080x810,"Karachi,Sindh,Pakistan","2014 - 39,618 km","Rs 1,064,000"
Grande March 2019 Registered,"1st owner (my own name)Toyota Corolla Grande 1.8 A/T Push StartScratchless conditionSingle handed DrivenMaintained by toyota 3S workshopModel December 2018, Registered in Mar 2019Used as a second car Just like newCan be seen in DHA Islamabad",20-05-20 0:47,https://apollo-singapore.akamaized.net:443/v1/files/xbo5vkz5t9t22-PK/image;s=1080x607,"Islamabad,Islamabad Capital Territory,Pakistan","2018 - 29,000 km","Rs 3,850,000"
CULTUS VXR 2008 EFI,"Good condition car and chilled ac no any work,Contect only serious buyer",12-06-20 1:35,https://apollo-singapore.akamaized.net:443/v1/files/uxkl7rd9a66k1-PK/image;s=1080x1440,"Karachi,Sindh,Pakistan","2008 - 54,300 km","Rs 605,000"
Nissan tiida automatic,2007 model 2012 import2013 islambad registrd Engine suspention 100% No single penny work requiredHome used car Just buy and drive,12-06-20 1:34,https://apollo-singapore.akamaized.net:443/v1/files/nf4wdnqrcbpt2-PK/image;s=1080x1586,"Lahore,Punjab,Pakistan","2007 - 60,000 km","Rs 1,475,000"
Toyota Aqua New Shape,Toyota aqua 2017 model Fresh Clear S push Start Multi Steering Ultra Low Mileage 100% guaranteed Parking sensors Extra Oridinary condition,09-06-20 19:34,https://apollo-singapore.akamaized.net:443/v1/files/s5izddk0wdb93-PK/image;s=1080x1440,"Karachi,Sindh,Pakistan","2017 - 1,790 km","Rs 3,135,000"
Cultus white look like new condition.,"Bettry new, new seats and frash, cng and petrol both working, engine very good condition and full body is clear. 4 lacs se niche wale takleef na den. O3one5double2sixone7four5 contact num...",12-06-20 1:07,https://apollo-singapore.akamaized.net:443/v1/files/2pc6gux70ogp1-PK/image;s=1080x810,"Karachi,Sindh,Pakistan","2001 - 60,000 km","Rs 400,000"
